Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Mon Dec 18 2023,9:00p,Dallas Mavericks,104,Denver Nuggets,130,Box Score,,19659,Ball Arena,
Mon Dec 18 2023,9:00p,Brooklyn Nets,108,Utah Jazz,125,Box Score,,18206,Delta Center,
Mon Dec 18 2023,10:00p,Washington Wizards,131,Sacramento Kings,143,Box Score,,17794,Golden 1 Center,
Mon Dec 18 2023,10:30p,New York Knicks,114,Los Angeles Lakers,109,Box Score,,18997,Crypto.com Arena,
Tue Dec 19 2023,7:30p,Memphis Grizzlies,115,New Orleans Pelicans,113,Box Score,,18355,Smoothie King Center,
Tue Dec 19 2023,8:00p,San Antonio Spurs,119,Milwaukee Bucks,132,Box Score,,17729,Fiserv Forum,
Tue Dec 19 2023,10:00p,Boston Celtics,126,Golden State Warriors,132,Box Score,OT,18064,Chase Center,
Tue Dec 19 2023,10:00p,Phoenix Suns,104,Portland Trail Blazers,109,Box Score,,18233,Moda Center,
Wed Dec 20 2023,7:00p,Utah Jazz,116,Cleveland Cavaliers,124,Box Score,,19432,Rocket Mortgage Fieldhouse,
Wed Dec 20 2023,7:00p,Charlotte Hornets,113,Indiana Pacers,144,Box Score,,16761,Gainbridge Fieldhouse,
Wed Dec 20 2023,7:00p,Miami Heat,115,Orlando Magic,106,Box Score,,19129,Amway Center,
Wed Dec 20 2023,7:00p,Minnesota Timberwolves,113,Philadelphia 76ers,127,Box Score,,20365,Wells Fargo Center,
Wed Dec 20 2023,7:30p,New York Knicks,121,Brooklyn Nets,102,Box Score,,18071,Barclays Center,
Wed Dec 20 2023,7:30p,Denver Nuggets,113,Toronto Raptors,104,Box Score,,19800,Scotiabank Arena,
Wed Dec 20 2023,8:00p,Los Angeles Lakers,108,Chicago Bulls,124,Box Score,,21234,United Center,
Wed Dec 20 2023,8:00p,Atlanta Hawks,134,Houston Rockets,127,Box Score,,18055,Toyota Center,
Wed Dec 20 2023,8:30p,Los Angeles Clippers,120,Dallas Mavericks,111,Box Score,,20310,American Airlines Center,
Wed Dec 20 2023,10:00p,Boston Celtics,144,Sacramento Kings,119,Box Score,,17874,Golden 1 Center,
Thu Dec 21 2023,7:00p,Utah Jazz,,Detroit Pistons,,,,,Little Caesars Arena,
Thu Dec 21 2023,7:30p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Thu Dec 21 2023,8:00p,San Antonio Spurs,,Chicago Bulls,,,,,United Center,
Thu Dec 21 2023,8:00p,Indiana Pacers,,Memphis Grizzlies,,,,,FedEx Forum,
Thu Dec 21 2023,8:00p,Orlando Magic,,Milwaukee Bucks,,,,,Fiserv Forum,
Thu Dec 21 2023,8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,Paycom Center,
Thu Dec 21 2023,9:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,Target Center,
Thu Dec 21 2023,10:00p,Washington Wizards,,Portland Trail Blazers,,,,,Moda Center,
Fri Dec 22 2023,7:00p,Toronto Raptors,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Dec 22 2023,7:30p,Denver Nuggets,,Brooklyn Nets,,,,,Barclays Center,
Fri Dec 22 2023,8:00p,Dallas Mavericks,,Houston Rockets,,,,,Toyota Center,
Fri Dec 22 2023,8:00p,Atlanta Hawks,,Miami Heat,,,,,Kaseya Center,
Fri Dec 22 2023,10:00p,Washington Wizards,,Golden State Warriors,,,,,Chase Center,
Fri Dec 22 2023,10:00p,Phoenix Suns,,Sacramento Kings,,,,,Golden 1 Center,
Sat Dec 23 2023,12:30p,Milwaukee Bucks,,New York Knicks,,,,,Madison Square Garden (IV),
Sat Dec 23 2023,3:30p,Boston Celtics,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sat Dec 23 2023,7:00p,Denver Nuggets,,Charlotte Hornets,,,,,Spectrum Center,
Sat Dec 23 2023,7:00p,Orlando Magic,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sat Dec 23 2023,7:00p,Houston Rockets,,New Orleans Pelicans,,,,,Smoothie King Center,
Sat Dec 23 2023,7:30p,Memphis Grizzlies,,Atlanta Hawks,,,,,State Farm Arena,
Sat Dec 23 2023,7:30p,Detroit Pistons,,Brooklyn Nets,,,,,Barclays Center,
Sat Dec 23 2023,7:30p,Utah Jazz,,Toronto Raptors,,,,,Scotiabank Arena,
Sat Dec 23 2023,8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,United Center,
Sat Dec 23 2023,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,Paycom Center,
Sat Dec 23 2023,8:30p,San Antonio Spurs,,Dallas Mavericks,,,,,American Airlines Center,
Sat Dec 23 2023,8:30p,Portland Trail Blazers,,Golden State Warriors,,,,,Chase Center,
Sat Dec 23 2023,10:00p,Minnesota Timberwolves,,Sacramento Kings,,,,,Golden 1 Center,
Mon Dec 25 2023,12:00p,Milwaukee Bucks,,New York Knicks,,,,,Madison Square Garden (IV),
Mon Dec 25 2023,2:30p,Golden State Warriors,,Denver Nuggets,,,,,Ball Arena,
Mon Dec 25 2023,5:00p,Boston Celtics,,Los Angeles Lakers,,,,,Crypto.com Arena,
Mon Dec 25 2023,8:00p,Philadelphia 76ers,,Miami Heat,,,,,Kaseya Center,
Mon Dec 25 2023,10:30p,Dallas Mavericks,,Phoenix Suns,,,,,Footprint Center,
Tue Dec 26 2023,7:00p,Brooklyn Nets,,Detroit Pistons,,,,,Little Caesars Arena,
Tue Dec 26 2023,7:00p,Orlando Magic,,Washington Wizards,,,,,Capital One Arena,
Tue Dec 26 2023,8:00p,Atlanta Hawks,,Chicago Bulls,,,,,United Center,
Tue Dec 26 2023,8:00p,Indiana Pacers,,Houston Rockets,,,,,Toyota Center,
Tue Dec 26 2023,8:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,Smoothie King Center,
Tue Dec 26 2023,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,Paycom Center,
Tue Dec 26 2023,8:00p,Utah Jazz,,San Antonio Spurs,,,,,Frost Bank Center,
Tue Dec 26 2023,10:00p,Sacramento Kings,,Portland Trail Blazers,,,,,Moda Center,
Tue Dec 26 2023,10:30p,Charlotte Hornets,,Los Angeles Clippers,,,,,Crypto.com Arena,
Wed Dec 27 2023,7:00p,Philadelphia 76ers,,Orlando Magic,,,,,Amway Center,
Wed Dec 27 2023,7:00p,Toronto Raptors,,Washington Wizards,,,,,Capital One Arena,
