Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Mon Jan 29 2024,8:00p,Los Angeles Lakers,,Houston Rockets,,,,,Toyota Center,
Mon Jan 29 2024,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,FedEx Forum,
Mon Jan 29 2024,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,Paycom Center,
Mon Jan 29 2024,8:00p,Washington Wizards,,San Antonio Spurs,,,,,Frost Bank Center,
Mon Jan 29 2024,8:30p,Orlando Magic,,Dallas Mavericks,,,,,American Airlines Center,
Mon Jan 29 2024,9:00p,Milwaukee Bucks,,Denver Nuggets,,,,,Ball Arena,
Mon Jan 29 2024,10:00p,Philadelphia 76ers,,Portland Trail Blazers,,,,,Moda Center,
Tue Jan 30 2024,7:30p,Los Angeles Lakers,,Atlanta Hawks,,,,,State Farm Arena,
Tue Jan 30 2024,7:30p,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
Tue Jan 30 2024,7:30p,Utah Jazz,,New York Knicks,,,,,Madison Square Garden (IV),
Tue Jan 30 2024,8:00p,Toronto Raptors,,Chicago Bulls,,,,,United Center,
Tue Jan 30 2024,10:00p,Philadelphia 76ers,,Golden State Warriors,,,,,Chase Center,
Wed Jan 31 2024,7:00p,Chicago Bulls,,Charlotte Hornets,,,,,Spectrum Center,
Wed Jan 31 2024,7:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Jan 31 2024,7:00p,Los Angeles Clippers,,Washington Wizards,,,,,Capital One Arena,
Wed Jan 31 2024,7:30p,Sacramento Kings,,Miami Heat,,,,,Kaseya Center,
Wed Jan 31 2024,8:00p,New Orleans Pelicans,,Houston Rockets,,,,,Toyota Center,
Wed Jan 31 2024,8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
Wed Jan 31 2024,8:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,Paycom Center,
Wed Jan 31 2024,8:00p,Orlando Magic,,San Antonio Spurs,,,,,Frost Bank Center,
Wed Jan 31 2024,8:30p,Phoenix Suns,,Brooklyn Nets,,,,,Barclays Center,
Wed Jan 31 2024,10:00p,Milwaukee Bucks,,Portland Trail Blazers,,,,,Moda Center,
