Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Nov 26 2023,7:30p,Toronto Raptors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sun Nov 26 2023,8:00p,San Antonio Spurs,,Denver Nuggets,,,,,Ball Arena,
Mon Nov 27 2023,7:00p,Washington Wizards,,Detroit Pistons,,,,,Little Caesars Arena,
Mon Nov 27 2023,7:00p,Portland Trail Blazers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Mon Nov 27 2023,7:00p,Los Angeles Lakers,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Nov 27 2023,9:00p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,
Mon Nov 27 2023,10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
Tue Nov 28 2023,7:30p,Chicago Bulls,,Boston Celtics,,,,,TD Garden,In-Season Tournament
Tue Nov 28 2023,7:30p,Toronto Raptors,,Brooklyn Nets,,,,,Barclays Center,In-Season Tournament
Tue Nov 28 2023,7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,In-Season Tournament
Tue Nov 28 2023,7:30p,Milwaukee Bucks,,Miami Heat,,,,,Kaseya Center,In-Season Tournament
Tue Nov 28 2023,7:30p,Charlotte Hornets,,New York Knicks,,,,,Madison Square Garden (IV),In-Season Tournament
Tue Nov 28 2023,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,In-Season Tournament
Tue Nov 28 2023,8:30p,Houston Rockets,,Dallas Mavericks,,,,,American Airlines Center,In-Season Tournament
Tue Nov 28 2023,10:00p,Golden State Warriors,,Sacramento Kings,,,,,Golden 1 Center,In-Season Tournament
Wed Nov 29 2023,7:00p,Los Angeles Lakers,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Nov 29 2023,7:00p,Washington Wizards,,Orlando Magic,,,,,Amway Center,
Wed Nov 29 2023,7:30p,Phoenix Suns,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Nov 29 2023,8:00p,Utah Jazz,,Memphis Grizzlies,,,,,FedEx Forum,
Wed Nov 29 2023,8:00p,Philadelphia 76ers,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Nov 29 2023,9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,
Wed Nov 29 2023,10:00p,Los Angeles Clippers,,Sacramento Kings,,,,,Golden 1 Center,
Thu Nov 30 2023,7:00p,Portland Trail Blazers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Thu Nov 30 2023,7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,Barclays Center,
Thu Nov 30 2023,7:30p,Indiana Pacers,,Miami Heat,,,,,Kaseya Center,
Thu Nov 30 2023,7:30p,Detroit Pistons,,New York Knicks,,,,,Madison Square Garden (IV),
Thu Nov 30 2023,8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,United Center,
Thu Nov 30 2023,8:00p,Utah Jazz,,Minnesota Timberwolves,,,,,Target Center,
Thu Nov 30 2023,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,Paycom Center,
Thu Nov 30 2023,8:00p,Atlanta Hawks,,San Antonio Spurs,,,,,AT&T Center,
Thu Nov 30 2023,10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,Chase Center,
